ID,probability
TEST_00000,0.00091022
TEST_00001,0.000959826
TEST_00002,0.156417344
TEST_00003,0.10375662
TEST_00004,0.555557393
TEST_00005,0.106330102
TEST_00006,0.452942039
TEST_00007,0.359505289
TEST_00008,0.245402122
TEST_00009,0.00049299
TEST_00010,0.046234623
TEST_00011,0.479364161
TEST_00012,0.372617037
TEST_00013,0.404275941
TEST_00014,0.347848048
TEST_00015,0.000730285
TEST_00016,0.239757405
TEST_00017,0.370482153
TEST_00018,0.187288969
TEST_00019,0.644125134
TEST_00020,0.265106109
TEST_00021,0.400290365
TEST_00022,0.290552177
TEST_00023,0.204199482
TEST_00024,0.41260261
TEST_00025,0.001058159
TEST_00026,0.123855666
TEST_00027,0.418971491
TEST_00028,0.16484836
TEST_00029,0.188696904
TEST_00030,0.440484286
TEST_00031,0.186944026
TEST_00032,0.162610504
TEST_00033,0.18237761
TEST_00034,0.411752785
TEST_00035,0.000721567
TEST_00036,0.13397492
TEST_00037,0.310994609
TEST_00038,0.226360999
TEST_00039,0.000228768
TEST_00040,0.165203228
TEST_00041,0.147970439
TEST_00042,0.300628273
TEST_00043,0.297472119
TEST_00044,0.314846556
TEST_00045,0.480737612
TEST_00046,0.482205604
TEST_00047,0.232001694
TEST_00048,0.13528473
TEST_00049,0.392929269
TEST_00050,0.218231561
TEST_00051,0.155163503
TEST_00052,0.071459113
TEST_00053,0.588871292
TEST_00054,0.001049624
TEST_00055,0.406052023
TEST_00056,0.326491314
TEST_00057,0.202341861
TEST_00058,0.514013751
TEST_00059,0.194072177
TEST_00060,0.001034404
TEST_00061,0.168457674
TEST_00062,0.34363451
TEST_00063,0.331065692
TEST_00064,0.199581212
TEST_00065,0.002562498
TEST_00066,0.283811137
TEST_00067,0.216341701
TEST_00068,0.292611764
TEST_00069,0.477674111
TEST_00070,0.382016992
TEST_00071,0.358769331
TEST_00072,0.190429052
TEST_00073,0.258463112
TEST_00074,0.143380143
TEST_00075,0.242717734
TEST_00076,0.015666662
TEST_00077,0.00172636
TEST_00078,0.117646401
TEST_00079,0.201019236
TEST_00080,0.344875581
TEST_00081,0.000258465
TEST_00082,0.215403214
TEST_00083,0.178712178
TEST_00084,0.441504489
TEST_00085,0.387841462
TEST_00086,0.000470235
TEST_00087,0.381605564
TEST_00088,0.124188209
TEST_00089,0.387615872
TEST_00090,0.226083768
TEST_00091,0.105300688
TEST_00092,0.383535813
TEST_00093,0.565166957
TEST_00094,0.000461722
TEST_00095,0.000654854
TEST_00096,0.452177377
TEST_00097,0.102634792
TEST_00098,0.385963873
TEST_00099,0.294370917
TEST_00100,0.121060887
TEST_00101,0.198264133
TEST_00102,0.380520239
TEST_00103,0.30458797
TEST_00104,0.367807224
TEST_00105,0.471678281
TEST_00106,0.256771145
TEST_00107,0.000582464
TEST_00108,0.340868439
TEST_00109,0.000779531
TEST_00110,0.414195648
TEST_00111,0.322730007
TEST_00112,0.015991395
TEST_00113,0.381757626
TEST_00114,0.187570548
TEST_00115,0.411887954
TEST_00116,0.000365727
TEST_00117,0.464994866
TEST_00118,0.334478054
TEST_00119,0.127226482
TEST_00120,0.000912925
TEST_00121,0.000640431
TEST_00122,0.335192721
TEST_00123,0.516916292
TEST_00124,0.404035273
TEST_00125,0.272098366
TEST_00126,0.001529795
TEST_00127,0.075416668
TEST_00128,0.274254399
TEST_00129,0.396316764
TEST_00130,0.217786349
TEST_00131,0.392555492
TEST_00132,0.000753227
TEST_00133,0.262398844
TEST_00134,0.368997615
